               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/banana_mAP,metrics/broccoli_mAP,metrics/egg carton_mAP,    metrics/eggs_mAP,    metrics/milk_mAP, metrics/yoghurt_mAP,metrics/banana_mAP_50,metrics/broccoli_mAP_50,metrics/egg carton_mAP_50, metrics/eggs_mAP_50, metrics/milk_mAP_50,metrics/yoghurt_mAP_50
                  18,            0.033545,            0.031587,           0.0099152,             0.74611,             0.57204,             0.62038,             0.34329,              0.0148,            0.010275,            0.003875,            0.008317,            0.008317,            0.008317,             0.31486,             0.52397,            0.016539,              0.6452,               0.236,             0.32319,             0.67962,             0.90906,            0.032097,             0.82929,             0.55596,             0.71623
                  19,            0.033184,            0.029156,            0.012769,             0.73145,              0.4525,              0.5212,               0.275,            0.014192,           0.0093417,           0.0046066,            0.008218,            0.008218,            0.008218,             0.29847,             0.22934,            0.015098,             0.66249,              0.2269,             0.21773,             0.64999,             0.46363,            0.054157,             0.90784,             0.50456,             0.54703
                  20,             0.03273,            0.031148,           0.0087601,              0.7403,             0.47145,             0.53256,             0.27093,            0.016621,           0.0093516,           0.0036044,            0.008119,            0.008119,            0.008119,             0.27876,             0.31599,            0.036126,             0.60114,             0.26725,             0.12634,             0.54217,             0.66014,             0.13694,              0.8943,             0.60088,             0.36095
                  21,            0.031416,            0.030538,           0.0084682,              0.7395,             0.53119,             0.56317,             0.34446,            0.017208,           0.0087278,           0.0040158,             0.00802,             0.00802,             0.00802,             0.25811,             0.37795,            0.031858,             0.59629,             0.37792,             0.42462,             0.47961,              0.5863,            0.080102,             0.85869,             0.62384,             0.75049
                  22,            0.031801,            0.030706,           0.0090043,             0.76988,             0.58232,             0.61097,             0.35839,            0.016646,           0.0085611,           0.0035776,            0.007921,            0.007921,            0.007921,             0.30866,              0.4105,            0.017816,             0.64682,             0.39618,             0.37036,             0.60879,             0.86082,            0.035118,             0.85285,             0.61906,             0.68921
                  23,            0.031212,            0.027937,            0.010047,             0.72161,             0.54146,               0.585,              0.3057,            0.016422,           0.0093267,           0.0037263,            0.007822,            0.007822,            0.007822,             0.33396,             0.41472,            0.011311,             0.54664,             0.21692,             0.31063,             0.66681,             0.85535,            0.035385,             0.79019,             0.47805,             0.68424
                  24,            0.031282,            0.028812,            0.011236,             0.71004,             0.54194,             0.58373,             0.34125,            0.016389,           0.0091124,            0.003813,            0.007723,            0.007723,            0.007723,             0.32104,             0.44339,            0.010569,             0.67858,             0.27741,             0.31647,             0.67804,             0.75333,            0.027267,              0.9119,             0.53287,             0.59898
                  25,            0.030725,            0.028093,           0.0082465,             0.76977,             0.56972,              0.6008,             0.38089,            0.015804,           0.0085561,            0.003316,            0.007624,            0.007624,            0.007624,             0.35694,             0.54505,            0.013676,              0.7482,             0.27902,             0.34244,             0.67477,             0.83465,            0.024467,             0.94216,             0.55803,              0.5707
                  26,            0.029087,            0.027184,           0.0078799,             0.64205,             0.56437,             0.53943,             0.33219,            0.014646,           0.0096182,            0.003616,            0.007525,            0.007525,            0.007525,             0.30533,             0.48609,            0.011002,             0.62233,              0.3666,             0.20177,             0.62819,             0.74794,            0.020724,             0.83811,             0.60739,             0.39425
                  27,            0.028953,            0.027834,            0.009287,             0.69414,             0.53045,               0.563,             0.31065,            0.014598,            0.009503,           0.0038983,            0.007426,            0.007426,            0.007426,               0.247,             0.29066,            0.019361,             0.57939,             0.47089,             0.25661,             0.58951,             0.65169,             0.04468,             0.83569,             0.62931,             0.62709
                  28,            0.030657,            0.027421,           0.0073023,             0.52861,             0.55606,             0.58633,             0.33462,            0.012994,           0.0094293,            0.003872,            0.007327,            0.007327,            0.007327,             0.31859,             0.43108,            0.013153,             0.58451,             0.37544,             0.28497,              0.5838,             0.74667,            0.068564,             0.90241,             0.59918,             0.61734
                  29,            0.030043,            0.028495,           0.0082548,             0.58732,             0.56041,             0.61223,              0.3809,            0.014242,           0.0084714,           0.0035778,            0.007228,            0.007228,            0.007228,             0.31255,             0.51421,            0.010541,             0.70827,             0.42585,               0.314,             0.61221,             0.74391,            0.016696,              0.9514,             0.70879,             0.64037
