               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/banana_mAP,metrics/broccoli_mAP,metrics/egg carton_mAP,    metrics/eggs_mAP,    metrics/milk_mAP, metrics/yoghurt_mAP,metrics/banana_mAP_50,metrics/broccoli_mAP_50,metrics/egg carton_mAP_50, metrics/eggs_mAP_50, metrics/milk_mAP_50,metrics/yoghurt_mAP_50
                  18,            0.034335,            0.034098,            0.011873,             0.73187,              0.5583,             0.61047,             0.34819,            0.016779,           0.0091351,            0.003463,            0.008317,            0.008317,            0.008317,             0.30991,             0.44435,            0.035667,             0.62085,               0.298,             0.38039,              0.5675,             0.88072,             0.14196,             0.89031,             0.51718,             0.66516
                  19,            0.036644,             0.03225,            0.010799,             0.69591,             0.59035,             0.62315,             0.38095,            0.014827,           0.0079432,           0.0033591,            0.008218,            0.008218,            0.008218,             0.30619,             0.50061,            0.027232,              0.6848,             0.25982,             0.50704,             0.57351,             0.85545,            0.058636,             0.87778,             0.56181,              0.8117
                  20,            0.033375,            0.033301,            0.009402,              0.8344,             0.52287,             0.61452,             0.37286,             0.01707,           0.0082037,           0.0031016,            0.008119,            0.008119,            0.008119,             0.34946,             0.44432,             0.02636,             0.70526,             0.23912,             0.47265,              0.6774,             0.82663,            0.061904,             0.87712,              0.5198,             0.72429
                  21,            0.033194,            0.033163,           0.0095183,             0.67478,             0.57759,             0.55225,             0.29637,            0.015918,           0.0087676,           0.0042207,             0.00802,             0.00802,             0.00802,             0.26045,             0.26671,            0.024223,             0.65716,             0.27173,             0.29792,             0.54598,             0.69182,            0.050532,             0.82476,             0.51462,             0.68581
                  22,              0.0325,             0.03239,           0.0077142,             0.68872,             0.58498,             0.58181,               0.349,            0.014079,            0.008931,           0.0033404,            0.007921,            0.007921,            0.007921,             0.30157,             0.48081,            0.021963,             0.69535,             0.36543,             0.22886,             0.63454,             0.79411,            0.063192,              0.9615,             0.53878,             0.49875
                  23,            0.034437,            0.030766,            0.011708,             0.75019,             0.50404,             0.59859,             0.36641,             0.01288,           0.0091956,           0.0051258,            0.007822,            0.007822,            0.007822,             0.26911,             0.41542,            0.013016,             0.71222,             0.38269,             0.40599,             0.56167,             0.78368,            0.038155,             0.90771,             0.64106,             0.65926
                  24,            0.032836,            0.030759,            0.009409,             0.73225,              0.5608,             0.59949,             0.35932,            0.014514,            0.008953,           0.0046806,            0.007723,            0.007723,            0.007723,             0.28393,             0.43142,             0.02892,               0.661,             0.33623,             0.41443,             0.60639,             0.85252,            0.072912,             0.88941,             0.54286,             0.63286
                  25,            0.031732,            0.031076,            0.008686,             0.78696,             0.51811,             0.61822,             0.37708,             0.01603,           0.0081427,           0.0040164,            0.007624,            0.007624,            0.007624,             0.32937,             0.38154,            0.018455,             0.70845,             0.46011,             0.36456,             0.62224,             0.84017,            0.055568,             0.88655,             0.63285,             0.67194
                  26,            0.031486,            0.029895,           0.0091951,             0.74316,             0.53489,             0.62869,              0.3781,            0.014453,           0.0080054,           0.0038044,            0.007525,            0.007525,            0.007525,             0.36203,             0.49487,            0.020851,             0.69487,             0.44563,             0.25035,             0.66712,             0.84825,            0.062246,             0.90611,             0.70894,             0.57947
                  27,            0.031815,             0.03138,           0.0087148,             0.52402,             0.55195,             0.57665,              0.3353,            0.015158,           0.0086995,           0.0034998,            0.007426,            0.007426,            0.007426,             0.33174,             0.44016,           0.0048159,             0.66459,             0.33741,              0.2331,             0.61349,             0.81917,            0.013421,             0.82744,             0.54646,             0.63992
                  28,            0.031547,            0.030235,           0.0081085,             0.76008,             0.50582,             0.53847,             0.33197,            0.015135,           0.0088831,           0.0037356,            0.007327,            0.007327,            0.007327,             0.32948,             0.39813,            0.003541,             0.71227,             0.30991,             0.23846,             0.57423,             0.73119,             0.01055,             0.90324,              0.5038,             0.50783
                  29,            0.031469,            0.031408,           0.0079572,             0.73117,             0.54138,             0.57306,             0.34861,            0.014678,           0.0089871,           0.0034276,            0.007228,            0.007228,            0.007228,             0.32394,             0.44459,            0.012512,             0.62358,             0.41147,              0.2756,             0.52628,             0.78291,            0.035301,             0.87227,             0.62622,             0.59537
                  30,            0.030046,            0.031189,           0.0093504,             0.75052,             0.55966,              0.5981,             0.37539,            0.015737,           0.0084707,           0.0034011,            0.007129,            0.007129,            0.007129,             0.32068,             0.34274,             0.02424,             0.67325,              0.4567,             0.43473,             0.52108,             0.67101,            0.046493,              0.9396,             0.68812,             0.72231
